Response ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15
R_3r0QiFl2S4NqbR2,"Rhinology, Sinus & Anterior Endoscopic Skull Base Surgery",Academic,Yes,6-10,100-200,1-2 per week,< 1% of the time,Often (more than 75% of the time),Sometimes (26-50%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Dissecting distal aspect to exclude one or more hypoglossal branches,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_7q1MNHLyFAiq12D,No Fellowship,Private,Yes,1-5,< 20,Once every other week,< 1% of the time,Never,Rarely (1-25%),Tongue retraction with stimulation,Open window around cuff without removing,Stimulating superior and/or deep aspects of the nerve,Remove and replace the cuff with stimulation,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_2E1fQFSfWi8O17r,No Fellowship,Private,Yes,6-10,100-200,Once a month,5-10% of the time,Often (more than 75% of the time),Rarely (1-25%),Lack of any visible tongue motion with stimulation,Remove and replace the cuff with stimulation,Remove and replace the cuff with stimulation,Remove and replace the cuff with stimulation,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_2v9X1IAuvPUmrVn,Head and Neck Oncology,Academic,No,>15,100-200,1-2 per week,1-5% of the time,Often (more than 75% of the time),Never (0%),Lack of any visible tongue motion with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Stimulating superior and/or deep aspects of the nerve,Remove and replace the cuff with stimulation,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_2txKlhU5HHEx1ow,No Fellowship,Private,Yes,1-5,20-50,Once every other week,> 10% of the time,Sometimes (50-75% of the time),Sometimes (26-50%),Tongue retraction with stimulation,Remove and replace the cuff with stimulation,Remove and replace the cuff with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_5wi9uycws6O041X,Sleep Medicine & Surgery,Private,No,>15,100-200,1-2 per week,5-10% of the time,Rarely (less than 50% of the time),Rarely (1-25%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,Stimulating superior and/or deep aspects of the nerve,Left cuff in place,15-30 min
R_72MyZwCe3KVDJXv,"Otology, Neurotology & Skull Base Surgery",Private,No,>15,20-50,Once every other week,> 10% of the time,Rarely (less than 50% of the time),Rarely (1-25%),Tongue retraction with stimulation,Open window around cuff without removing,Remove and replace the cuff with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_77gWxk4NQkrfgoV,No Fellowship,Private,No,10-15,100-200,Once every other week,1-5% of the time,Rarely (less than 50% of the time),Rarely (1-25%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Dissecting distal aspect to exclude one or more hypoglossal branches,Stimulating superior and/or deep aspects of the nerve,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_3aDXMK09aDsytdn,Head and Neck Oncology,Private,No,10-15,> 200,1-2 per week,5-10% of the time,Sometimes (50-75% of the time),Sometimes (26-50%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Dissecting distal aspect to exclude one or more hypoglossal branches,Dissecting distal aspect to exclude one or more hypoglossal branches,Left cuff in place,0-15 min
R_7rNSwb013eehmaA,Sleep Medicine & Surgery,Private,No,>15,100-200,1-2 per week,1-5% of the time,Always,Rarely (1-25%),Tongue retraction with stimulation,Open window around cuff without removing,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_7qfnSQECLya5QBa,No Fellowship,Private,No,>15,100-200,1-2 per week,> 10% of the time,Rarely (less than 50% of the time),Never (0%),Tongue retraction with stimulation,Stimulating superior and/or deep aspects of the nerve,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_7VkkLIDJnT3BpoQ,No Fellowship,Private,Yes,1-5,20-50,Once every other week,5-10% of the time,Sometimes (50-75% of the time),Sometimes (26-50%),Lack of any visible tongue motion with stimulation,Open window around cuff without removing,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_72mtp1gsEsv3Sf6,No Fellowship,Private,No,>15,20-50,Once every other week,1-5% of the time,Rarely (less than 50% of the time),Rarely (1-25%),Tongue retraction with stimulation,Remove and replace the cuff with stimulation,Stimulating superior and/or deep aspects of the nerve,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_5xCR0k6ulPz4z61,"Rhinology, Sinus & Anterior Endoscopic Skull Base Surgery",Academic,No,>15,20-50,1-2 per week,> 10% of the time,Sometimes (50-75% of the time),Sometimes (26-50%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Stimulating superior and/or deep aspects of the nerve,Remove and replace the cuff with stimulation,N/A: I have always been able to resolve any issues with retraction prior to closure,30-45 min
R_59btogZT9azFjU0,No Fellowship,Private,No,1-5,100-200,1-2 per week,1-5% of the time,Rarely (less than 50% of the time),Rarely (1-25%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Stimulating superior and/or deep aspects of the nerve,Remove and replace the cuff with stimulation,Aborted the case,30-45 min
R_7ekQLIa2PHxyIoG,No Fellowship,Private,No,10-15,20-50,Once a month,< 1% of the time,Always,Never (0%),Lack of any visible tongue motion with stimulation,Open window around cuff without removing,Remove and replace the cuff with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_7JLUQq7unTxnoAN,No Fellowship,Private,No,6-10,20-50,Once every other week,> 10% of the time,Sometimes (50-75% of the time),Often (50-75%),Lack of any visible tongue motion with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,Stimulating superior and/or deep aspects of the nerve,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_1tr70zbM4MZLGqg,Head and Neck Oncology,Private,No,>15,> 200,> 2 per week,1-5% of the time,Rarely (less than 50% of the time),Never (0%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Stimulating superior and/or deep aspects of the nerve,Removing and replacing the cuff back in the same location,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_1op4DTlx6W8Kxio,No Fellowship,Academic,No,10-15,> 200,> 2 per week,1-5% of the time,Rarely (less than 50% of the time),Always (75-100%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Dissecting distal aspect to exclude one or more hypoglossal branches,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_8PbFR7if3aRMZE1,No Fellowship,Private,Yes,6-10,100-200,1-2 per week,5-10% of the time,Rarely (less than 50% of the time),Sometimes (26-50%),Tongue retraction with stimulation,Removing and replacing the cuff back in the same location,Remove and replace the cuff with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_6yjyhR8tWJWU1JO,No Fellowship,Private,No,>15,> 200,1-2 per week,1-5% of the time,Always,Rarely (1-25%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Dissecting distal aspect to exclude one or more hypoglossal branches,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_7F50kKFiWpfER1h,Sleep Medicine & Surgery,Private,No,>15,20-50,Once a month,1-5% of the time,Rarely (less than 50% of the time),Rarely (1-25%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Dissecting distal aspect to exclude one or more hypoglossal branches,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_3xK67AJmu2r2X18,No Fellowship,Private,No,>15,> 200,> 2 per week,1-5% of the time,Often (more than 75% of the time),Rarely (1-25%),Tongue retraction with stimulation,Open window around cuff without removing,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_2qs49NS0Rtl99OX,Sleep Medicine & Surgery,Private,No,>15,100-200,1-2 per week,1-5% of the time,Rarely (less than 50% of the time),Often (50-75%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Stimulating superior and/or deep aspects of the nerve,Open window around cuff without removing,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_1lt3H3fbVyJZaNE,No Fellowship,Private,Yes,1-5,< 20,Once a month,1-5% of the time,Always,Sometimes (26-50%),Lack of any visible tongue motion with stimulation,Open window around cuff without removing,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,N/A: I have always been able to resolve any issues with retraction prior to closure,30-45 min
R_3D6LvNdObRAToky,No Fellowship,Private,No,1-5,20-50,1-2 per week,> 10% of the time,Rarely (less than 50% of the time),Sometimes (26-50%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,Stimulating superior and/or deep aspects of the nerve,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_1MJAG01bGDrtmcA,No Fellowship,Academic,No,>15,100-200,Once every other week,1-5% of the time,Often (more than 75% of the time),Rarely (1-25%),Tongue retraction with stimulation,Stimulating superior and/or deep aspects of the nerve,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_5DApW0iz3pm0LlY,No Fellowship,Private,Yes,1-5,100-200,1-2 per week,5-10% of the time,Rarely (less than 50% of the time),Rarely (1-25%),Tongue retraction with stimulation,Stimulating superior and/or deep aspects of the nerve,Dissecting distal aspect to exclude one or more hypoglossal branches,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_5P2f50bXuZBIVnP,Facial Plastics & Reconstructive Surgery,Private,No,>15,> 200,> 2 per week,5-10% of the time,Often (more than 75% of the time),Rarely (1-25%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,Remove and replace the cuff with stimulation,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_2OdMl5v3n5SOFF8,No Fellowship,Academic,No,10-15,100-200,1-2 per week,1-5% of the time,Rarely (less than 50% of the time),Rarely (1-25%),Tongue retraction with stimulation,Stimulating superior and/or deep aspects of the nerve,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_5FZywKoGI1UPLNv,No Fellowship,Private,No,6-10,20-50,Once a month,< 1% of the time,Never,Rarely (1-25%),Lack of any visible tongue motion with stimulation,Stimulating superior and/or deep aspects of the nerve,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_1rSIaD5kwFtUNbz,No Fellowship,Private,No,10-15,100-200,Once every other week,1-5% of the time,Rarely (less than 50% of the time),Sometimes (26-50%),Tongue retraction with stimulation,Stimulating superior and/or deep aspects of the nerve,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_3WtXlmYfl9zxy70,No Fellowship,Private,No,1-5,20-50,Once every other week,> 10% of the time,Often (more than 75% of the time),Sometimes (26-50%),Tongue retraction with stimulation,Remove and replace the cuff with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff without stimulation,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_7tM4yazEkvLnSr6,No Fellowship,Private,No,>15,100-200,> 2 per week,5-10% of the time,Often (more than 75% of the time),Rarely (1-25%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,Removing and replacing the cuff back in the same location,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_2zjRjH8XYFe6iuj,No Fellowship,Private,No,>15,100-200,1-2 per week,1-5% of the time,Rarely (less than 50% of the time),Sometimes (26-50%),Tongue retraction with stimulation,Remove and replace the cuff with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Stimulating superior and/or deep aspects of the nerve,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_2mOaEEfxYgxxqUm,Head and Neck Oncology,Private,No,>15,< 20,Once every other week,< 1% of the time,Always,Rarely (1-25%),Lack of any visible tongue motion with stimulation,Stimulating superior and/or deep aspects of the nerve,Remove and replace the cuff with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_1oSipRFQywi0VxJ,Sleep Medicine & Surgery,Private,No,>15,20-50,Once a month,< 1% of the time,Never,Rarely (1-25%),Tongue retraction with stimulation,Stimulating superior and/or deep aspects of the nerve,Dissecting distal aspect to exclude one or more hypoglossal branches,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_2BjkQwSolpKhBTz,No Fellowship,Private,No,10-15,20-50,Once every other week,< 1% of the time,Never,Rarely (1-25%),Tongue retraction with stimulation,Stimulating superior and/or deep aspects of the nerve,Dissecting distal aspect to exclude one or more hypoglossal branches,Open window around cuff without removing,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_50cVszt5Vo8b9od,No Fellowship,Private,No,6-10,20-50,Once every other week,1-5% of the time,Often (more than 75% of the time),Never (0%),Lack of any visible tongue motion with stimulation,Stimulating superior and/or deep aspects of the nerve,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_5ikflH88Z6CjCzD,No Fellowship,Private,No,>15,20-50,Once every other week,1-5% of the time,Often (more than 75% of the time),Rarely (1-25%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,Stimulating superior and/or deep aspects of the nerve,N/A: I have always been able to resolve any issues with retraction prior to closure,30-45 min
R_2rlvWKN9jogUfmH,No Fellowship,Private,Yes,6-10,20-50,Once a month,< 1% of the time,Never,Never (0%),Lack of any visible tongue motion with stimulation,Open window around cuff without removing,Stimulating superior and/or deep aspects of the nerve,Remove and replace the cuff with stimulation,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_3QJwzFbsDld6ZaQ,Laryngology,Academic,Yes,1-5,20-50,Once a month,< 1% of the time,Often (more than 75% of the time),Sometimes (26-50%),Lack of any visible tongue motion with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Stimulating superior and/or deep aspects of the nerve,Remove and replace the cuff with stimulation,N/A: I have always been able to resolve any issues with retraction prior to closure,30-45 min
R_2QWkJmoAnWZYLbr,Head and Neck Oncology,Private,Yes,1-5,20-50,Once every other week,1-5% of the time,Rarely (less than 50% of the time),Sometimes (26-50%),Lack of any visible tongue motion with stimulation,Stimulating superior and/or deep aspects of the nerve,Remove and replace the cuff with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_7EAfnGEaz1lxilX,Laryngology,Government,No,10-15,100-200,1-2 per week,1-5% of the time,Rarely (less than 50% of the time),Never (0%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff without stimulation,Remove and replace the cuff without stimulation,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_5K9km4LlyCY2SE9,Sleep Medicine & Surgery,Private,No,>15,20-50,Once every other week,> 10% of the time,Often (more than 75% of the time),Rarely (1-25%),Lack of any visible tongue motion with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Dissecting distal aspect to exclude one or more hypoglossal branches,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_3v7YHgKoi42BHuX,No Fellowship,Private,No,>15,> 200,> 2 per week,> 10% of the time,Sometimes (50-75% of the time),Rarely (1-25%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,Open window around cuff without removing,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_3pxPbOIZEEI4MQ9,No Fellowship,Government,No,>15,20-50,< 1 per month,1-5% of the time,Never,Rarely (1-25%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_5wpDqGbwsGCNm5l,No Fellowship,Academic,No,10-15,20-50,Once every other week,5-10% of the time,Often (more than 75% of the time),Rarely (1-25%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Stimulating superior and/or deep aspects of the nerve,Remove and replace the cuff with stimulation,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_23oDckbkyBrHdBv,No Fellowship,Private,No,>15,< 20,Once a month,1-5% of the time,Rarely (less than 50% of the time),Rarely (1-25%),Lack of any visible tongue motion with stimulation,Stimulating superior and/or deep aspects of the nerve,Dissecting distal aspect to exclude one or more hypoglossal branches,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_2afeFpssZXsPcSR,No Fellowship,Private,No,6-10,20-50,Once a month,1-5% of the time,Never,Sometimes (26-50%),Tongue retraction with stimulation,Remove and replace the cuff with stimulation,Remove and replace the cuff with stimulation,Remove and replace the cuff with stimulation,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_18TKXXUvLpLRfEJ,No Fellowship,Private,No,>15,100-200,1-2 per week,< 1% of the time,Always,Rarely (1-25%),Tongue retraction with stimulation,Remove and replace the cuff with stimulation,Stimulating superior and/or deep aspects of the nerve,Dissecting distal aspect to exclude one or more hypoglossal branches,Left cuff in place,0-15 min
R_325YnpzQCBAdYmT,No Fellowship,Private,No,>15,100-200,1-2 per week,1-5% of the time,Never,Sometimes (26-50%),Tongue retraction with stimulation,Stimulating superior and/or deep aspects of the nerve,Remove and replace the cuff with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_1RyzYJF23olcDBi,No Fellowship,Private,No,>15,20-50,Once every other week,5-10% of the time,Rarely (less than 50% of the time),Rarely (1-25%),Lack of any visible tongue motion with stimulation,Remove and replace the cuff with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Stimulating superior and/or deep aspects of the nerve,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_5iISVMmnNMlVkuS,No Fellowship,Private,No,6-10,> 200,1-2 per week,5-10% of the time,Rarely (less than 50% of the time),Rarely (1-25%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,Stimulating superior and/or deep aspects of the nerve,Left cuff in place,15-30 min
R_2QJwCEzwLLLO6Y1,No Fellowship,Private,No,6-10,> 200,> 2 per week,1-5% of the time,Rarely (less than 50% of the time),Always (75-100%),Lack of any visible tongue motion with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Stimulating superior and/or deep aspects of the nerve,Remove and replace the cuff with stimulation,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_3s1Jwdavmr45TNA,No Fellowship,Private,No,10-15,20-50,Once every other week,1-5% of the time,Often (more than 75% of the time),Sometimes (26-50%),Lack of any visible tongue motion with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Dissecting distal aspect to exclude one or more hypoglossal branches,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_7dAnvChpfLwtx29,No Fellowship,Private,No,10-15,100-200,> 2 per week,1-5% of the time,Rarely (less than 50% of the time),Sometimes (26-50%),Tongue retraction with stimulation,Stimulating superior and/or deep aspects of the nerve,Dissecting distal aspect to exclude one or more hypoglossal branches,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_32fZjrzBUlWaPPM,No Fellowship,Academic,No,>15,> 200,1-2 per week,< 1% of the time,Often (more than 75% of the time),Never (0%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,N/A: I have always been able to resolve any issues with retraction prior to closure,30-45 min
R_7pa2gHTlXcCf0NF,No Fellowship,Private,No,10-15,> 200,Once every other week,5-10% of the time,Often (more than 75% of the time),Rarely (1-25%),Tongue retraction with stimulation,Stimulating superior and/or deep aspects of the nerve,Remove and replace the cuff with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_5U6roLUuK6slrdn,No Fellowship,Private,No,>15,100-200,1-2 per week,1-5% of the time,Rarely (less than 50% of the time),Never (0%),Tongue retraction with stimulation,Remove and replace the cuff with stimulation,Stimulating superior and/or deep aspects of the nerve,Removing and replacing the cuff back in the same location,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_3QT3fLg4PHTJlIt,No Fellowship,Private,Yes,6-10,> 200,> 2 per week,5-10% of the time,Sometimes (50-75% of the time),Often (50-75%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Left cuff in place,0-15 min
R_7AeeTTwACE2OiK5,No Fellowship,Private,No,>15,20-50,Once every other week,1-5% of the time,Sometimes (50-75% of the time),Never (0%),Lack of any visible tongue motion with stimulation,Open window around cuff without removing,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_2NwILE3QKrcE1Zn,No Fellowship,Academic,No,>15,> 200,1-2 per week,> 10% of the time,Sometimes (50-75% of the time),Rarely (1-25%),Tongue retraction with stimulation,Stimulating superior and/or deep aspects of the nerve,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,Left cuff in place,15-30 min
R_2MF4stxe3xMQi9b,No Fellowship,Private,No,10-15,100-200,> 2 per week,5-10% of the time,Rarely (less than 50% of the time),Rarely (1-25%),Tongue retraction with stimulation,Open window around cuff without removing,Remove and replace the cuff with stimulation,Stimulating superior and/or deep aspects of the nerve,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
